Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense
2009 Y,112493,- -,112493,8117,- -,- -,-11552,11552,8441,2327,3.46,2327,3.46,3127,2.78,- -,- -,100.0,- -,7.16,437716,- -,3127
2010 Y,136185,- -,136185,7704,- -,- -,-19051,19051,13494,2453,5.29,2453,5.29,4279,3.14,- -,- -,100.0,- -,9.52,523788,- -,4279
2011 Y,143688,- -,143688,8670,- -,- -,-15314,15314,10746,2475,4.14,2475,4.14,5492,3.82,- -,- -,100.0,- -,7.14,530214,- -,5492
2012 Y,162463,- -,162463,11870,- -,- -,-22236,22236,15312,2477,5.98,2477,5.98,6154,3.79,- -,- -,100.0,- -,9.12,563130,- -,6154
2013 Y,182150,- -,182150,13282,- -,- -,-28796,28796,19845,2465,7.9,2465,7.9,6508,3.57,- -,- -,100.0,- -,10.69,603146,- -,6508
2014 Y,194699,- -,194699,13721,- -,- -,-28105,28105,20170,2465,8.06,2465,8.06,7370,3.79,- -,- -,100.0,- -,10.21,616136,- -,7370
2015 Y,210943,- -,210943,15309,- -,- -,-34946,34946,24414,2465,9.77,2465,9.77,7779,3.69,- -,- -,100.0,- -,11.42,637290,- -,7779
2016 Y,223418,- -,223418,19308,- -,- -,-33667,33667,24427,2466,9.76,2466,9.76,8901,3.98,- -,- -,100.0,- -,10.78,607609,- -,8901
2017 Y,242061,- -,242061,20644,- -,- -,-23838,23838,45353,2467,18.22,2467,18.22,9188,3.8,- -,- -,100.0,- -,18.57,642072,- -,9188
2018 Y,225382,- -,225382,21917,- -,- -,-4001,4001,4322,2466,1.63,2466,1.63,9779,4.34,- -,- -,100.0,- -,1.78,579388,- -,9779
2019 Y,327223,- -,327223,23229,- -,- -,-102696,102696,81792,2451,33.22,2451,33.22,10064,3.08,- -,- -,100.0,- -,24.88,835819,- -,10064
2020 Y,286325,- -,286325,23329,- -,- -,-55693,55693,43253,2392,17.78,2392,17.78,10596,3.7,- -,- -,100.0,- -,14.85,795347,- -,10596
2021 Y,354727,- -,354727,23044,- -,- -,-111861,111861,90949,2265,39.7,2265,39.7,10718,3.02,- -,- -,100.0,- -,25.35,953567,- -,10718
2022 Y,234121,- -,234121,25056,- -,- -,30500,-30500,-21998,2203,-10.33,2203,-10.33,10899,4.66,- -,- -,100.0,- -,-9.72,611282,- -,10899
2023 Y,439337,- -,439337,28642,- -,- -,-120166,120166,97147,2173,44.27,2173,44.27,12486,2.84,- -,- -,100.0,- -,21.9,1108038,- -,12486
